PA0_Kills, PA0_A_Kills, PA0_Assists, PA0_A_Assists, PA0_Deaths, PA0_A_Deaths, PA0_HSPercent, PA0_A_HSPercent, PA0_KillPerRound, PA0_A_KillDeathRating, PA0_KillPerRound, PA0_A_KillDeathRating, PA1_Kills, PA1_A_Kills, PA1_Assists, PA1_A_Assists, PA1_Deaths, PA1_A_Deaths, PA1_HSPercent, PA1_A_HSPercent, PA1_KillPerRound, PA1_A_KillDeathRating, PA1_KillPerRound, PA1_A_KillDeathRating, PA2_Kills, PA2_A_Kills, PA2_Assists, PA2_A_Assists, PA2_Deaths, PA2_A_Deaths, PA2_HSPercent, PA2_A_HSPercent, PA2_KillPerRound, PA2_A_KillDeathRating, PA2_KillPerRound, PA2_A_KillDeathRating, PA3_Kills, PA3_A_Kills, PA3_Assists, PA3_A_Assists, PA3_Deaths, PA3_A_Deaths, PA3_HSPercent, PA3_A_HSPercent, PA3_KillPerRound, PA3_A_KillDeathRating, PA3_KillPerRound, PA3_A_KillDeathRating, PA4_Kills, PA4_A_Kills, PA4_Assists, PA4_A_Assists, PA4_Deaths, PA4_A_Deaths, PA4_HSPercent, PA4_A_HSPercent, PA4_KillPerRound, PA4_A_KillDeathRating, PA4_KillPerRound, PA4_A_KillDeathRating, PB0_Kills, PB0_A_Kills, PB0_Assists, PB0_A_Assists, PB0_Deaths, PB0_A_Deaths, PB0_HSPercent, PB0_A_HSPercent, PB0_KillPerRound, PB0_A_KillDeathRating, PB0_KillPerRound, PB0_A_KillDeathRating, PB1_Kills, PB1_A_Kills, PB1_Assists, PB1_A_Assists, PB1_Deaths, PB1_A_Deaths, PB1_HSPercent, PB1_A_HSPercent, PB1_KillPerRound, PB1_A_KillDeathRating, PB1_KillPerRound, PB1_A_KillDeathRating, PB2_Kills, PB2_A_Kills, PB2_Assists, PB2_A_Assists, PB2_Deaths, PB2_A_Deaths, PB2_HSPercent, PB2_A_HSPercent, PB2_KillPerRound, PB2_A_KillDeathRating, PB2_KillPerRound, PB2_A_KillDeathRating, PB3_Kills, PB3_A_Kills, PB3_Assists, PB3_A_Assists, PB3_Deaths, PB3_A_Deaths, PB3_HSPercent, PB3_A_HSPercent, PB3_KillPerRound, PB3_A_KillDeathRating, PB3_KillPerRound, PB3_A_KillDeathRating, PB4_Kills, PB4_A_Kills, PB4_Assists, PB4_A_Assists, PB4_Deaths, PB4_A_Deaths, PB4_HSPercent, PB4_A_HSPercent, PB4_KillPerRound, PB4_A_KillDeathRating, PB4_KillPerRound, PB4_A_KillDeathRating
16, 20, 3, 3, 16, 20, 46, 44, 0.579000, 0.905500, 0.718900, 1.032300, 17, 20, 2, 3, 14, 20, 27, 44, 0.541500, 0.777000, 0.718700, 1.038650, 23, 19, 3, 3, 23, 19, 38, 43, 0.884000, 1.199500, 0.716600, 1.041300, 20, 18, 4, 3, 19, 18, 42, 43, 0.757500, 1.097500, 0.710850, 1.047300, 24, 18, 3, 3, 20, 18, 52, 43, 0.913000, 1.293000, 0.712650, 1.050600, 16, 17, 3, 3, 19, 17, 43, 45, 0.679500, 1.034500, 0.707750, 1.084900, 22, 19, 2, 4, 18, 19, 47, 42, 0.817500, 1.380000, 0.706550, 1.030150, 18, 18, 2, 3, 15, 18, 33, 42, 0.687500, 1.012000, 0.706200, 1.053400, 13, 19, 4, 3, 20, 19, 33, 41, 0.478000, 0.596500, 0.707350, 1.046800, 22, 18, 4, 3, 22, 19, 58, 45, 0.814500, 1.080000, 0.699400, 1.045450 
24, 18, 4, 3, 18, 18, 54, 45, 0.937500, 1.433000, 0.709400, 1.046850, 37, 21, 4, 3, 28, 21, 60, 47, 1.173500, 1.864000, 0.716800, 1.053550, 21, 20, 6, 3, 31, 20, 77, 47, 0.712500, 1.056000, 0.712250, 1.057600, 37, 19, 3, 3, 30, 19, 80, 44, 1.359000, 1.902000, 0.713650, 1.050250, 29, 20, 5, 3, 30, 20, 90, 46, 1.034000, 1.420000, 0.703350, 1.029350, 22, 19, 3, 3, 26, 19, 56, 45, 0.857500, 1.293500, 0.713600, 1.060200, 33, 19, 7, 3, 28, 19, 62, 45, 1.256500, 1.697000, 0.713050, 1.060600, 21, 18, 4, 3, 22, 18, 41, 43, 0.790500, 1.124000, 0.717550, 1.059500, 15, 20, 2, 3, 14, 20, 32, 44, 0.573000, 0.799000, 0.731000, 1.032000, 23, 19, 4, 3, 23, 19, 39, 43, 0.888000, 1.193500, 0.716600, 1.041300 
17, 19, 4, 4, 16, 19, 45, 42, 0.562000, 0.769000, 0.696200, 1.037100, 23, 20, 3, 4, 21, 20, 44, 40, 0.780500, 1.068000, 0.706550, 1.037300, 11, 19, 1, 4, 12, 19, 23, 42, 0.342000, 0.486500, 0.702900, 1.035650, 23, 19, 3, 3, 23, 19, 39, 43, 0.880000, 1.180000, 0.716600, 1.041300, 23, 19, 4, 3, 26, 19, 59, 43, 0.841000, 1.266500, 0.715350, 1.077100, 20, 16, 3, 3, 17, 16, 40, 38, 0.838500, 1.466000, 0.662150, 1.010150, 11, 22, 2, 4, 13, 22, 30, 42, 0.348500, 0.463500, 0.716450, 1.024850, 15, 19, 2, 3, 12, 19, 25, 42, 0.558000, 0.790000, 0.712400, 1.038950, 10, 20, 2, 3, 12, 20, 24, 44, 0.327500, 0.445000, 0.712550, 1.040600, 12, 19, 1, 3, 8, 19, 14, 41, 0.473500, 0.696000, 0.712000, 1.029400 
20, 20, 3, 3, 20, 20, 36, 43, 0.725000, 0.937000, 0.715000, 1.017900, 20, 20, 5, 3, 28, 20, 51, 42, 0.783000, 1.016500, 0.717300, 1.047800, 25, 20, 3, 3, 22, 20, 50, 42, 0.926000, 1.369000, 0.714700, 1.045200, 24, 19, 3, 3, 23, 19, 37, 43, 0.896500, 1.211000, 0.716600, 1.041300, 23, 19, 4, 3, 26, 19, 58, 43, 0.843000, 1.274500, 0.715350, 1.077100, 24, 18, 3, 3, 25, 18, 60, 46, 0.933500, 1.305500, 0.715250, 1.054750, 27, 18, 4, 3, 25, 18, 74, 45, 1.045500, 1.670000, 0.697700, 1.051400, 17, 18, 3, 3, 14, 18, 42, 43, 0.620500, 0.916500, 0.721800, 1.052850, 16, 19, 3, 3, 24, 19, 60, 44, 0.518000, 0.752500, 0.692900, 1.058150, 30, 18, 4, 3, 23, 18, 64, 43, 1.153500, 1.813500, 0.704250, 1.054050 
24, 19, 4, 3, 26, 19, 59, 43, 0.856000, 1.291500, 0.715350, 1.077100, 22, 18, 2, 3, 16, 18, 33, 43, 0.794000, 1.360000, 0.698650, 1.038700, 19, 19, 2, 3, 21, 19, 50, 43, 0.736000, 1.008000, 0.717100, 1.052250, 20, 18, 3, 3, 21, 18, 51, 43, 0.760500, 1.055000, 0.716050, 1.066050, 28, 18, 5, 3, 19, 18, 47, 43, 0.972500, 1.677000, 0.708150, 1.060350, 26, 18, 5, 3, 27, 18, 61, 43, 0.968500, 1.303500, 0.702200, 1.051300, 19, 19, 3, 3, 16, 19, 49, 44, 0.697000, 1.198000, 0.708750, 1.050400, 24, 19, 4, 3, 18, 19, 33, 42, 0.915500, 3.006501, 0.703750, 1.119601, 12, 18, 2, 3, 21, 18, 35, 40, 0.482000, 0.635500, 0.700400, 1.027450, 25, 19, 4, 3, 25, 19, 42, 41, 0.924000, 1.290000, 0.709300, 1.037350 
24, 19, 4, 3, 23, 19, 37, 43, 0.906500, 1.226000, 0.716600, 1.041300, 24, 19, 4, 3, 26, 19, 58, 43, 0.852500, 1.290500, 0.715350, 1.077100, 12, 18, 2, 3, 10, 18, 20, 42, 0.456000, 0.689000, 0.694600, 1.044900, 8, 19, 3, 3, 9, 19, 24, 42, 0.322500, 0.551500, 0.703800, 1.047900, 21, 17, 4, 4, 20, 17, 43, 41, 0.917500, 1.426000, 0.698950, 1.067000, 19, 19, 3, 3, 19, 19, 56, 44, 0.762500, 1.080500, 0.701100, 1.039650, 39, 19, 7, 3, 33, 19, 76, 44, 1.456000, 2.027000, 0.703150, 1.028050, 25, 19, 4, 3, 26, 19, 65, 42, 0.932500, 1.556000, 0.702750, 1.039250, 29, 18, 6, 3, 29, 18, 69, 41, 1.098000, 1.844000, 0.699450, 1.041350, 17, 18, 4, 3, 15, 18, 24, 42, 0.612500, 0.890000, 0.713500, 1.056500 
26, 19, 6, 3, 28, 19, 66, 43, 0.940500, 1.372000, 0.708400, 1.022550, 24, 19, 4, 3, 23, 19, 38, 43, 0.893000, 1.206500, 0.716600, 1.041300, 23, 19, 4, 3, 26, 19, 59, 43, 0.848000, 1.282500, 0.715350, 1.077100, 27, 19, 5, 3, 24, 19, 45, 45, 0.941500, 1.481500, 0.696250, 1.080850, 25, 18, 4, 4, 19, 19, 54, 43, 0.962000, 1.590000, 0.708950, 1.038350, 1, 18, 0, 3, 1, 19, 2, 46, 0.033500, 0.040000, 0.715300, 1.060300, 23, 21, 4, 4, 24, 21, 38, 44, 0.792000, 1.201500, 0.720250, 1.017550, 23, 20, 3, 3, 20, 20, 41, 44, 0.792000, 1.267500, 0.717350, 1.072400, 28, 18, 2, 3, 28, 19, 70, 45, 0.965000, 1.426500, 0.709750, 1.085100, 23, 19, 4, 3, 31, 19, 66, 43, 0.879000, 1.096000, 0.721500, 1.036650 
20, 20, 3, 3, 18, 20, 33, 39, 0.763500, 1.103500, 0.722500, 1.039900, 22, 19, 4, 3, 21, 19, 50, 39, 0.827000, 1.199000, 0.716100, 1.041400, 10, 19, 2, 3, 11, 19, 17, 40, 0.374000, 0.467500, 0.718150, 1.050400, 23, 19, 4, 3, 23, 19, 39, 43, 0.893500, 1.208500, 0.716600, 1.041300, 23, 19, 4, 3, 25, 19, 59, 43, 0.861000, 1.317000, 0.715350, 1.077100, 17, 20, 3, 4, 17, 20, 42, 43, 0.645000, 0.876000, 0.699000, 1.031250, 25, 20, 2, 3, 18, 20, 39, 41, 0.977000, 1.584000, 0.711500, 1.068400, 14, 20, 4, 4, 17, 20, 38, 40, 0.508500, 0.714500, 0.713350, 1.032800, 15, 20, 4, 4, 19, 20, 40, 40, 0.545000, 0.744500, 0.710100, 1.032650, 15, 20, 2, 4, 16, 20, 39, 41, 0.594500, 0.838500, 0.712150, 1.057750 
22, 20, 3, 4, 22, 20, 45, 42, 0.848000, 1.198500, 0.707700, 1.032900, 10, 20, 3, 3, 19, 20, 27, 41, 0.370500, 0.457000, 0.716400, 1.046100, 15, 20, 3, 3, 18, 20, 39, 42, 0.576500, 0.731000, 0.715050, 1.049750, 8, 19, 3, 3, 23, 19, 34, 42, 0.310500, 0.427500, 0.707250, 1.067450, 12, 19, 2, 3, 13, 19, 30, 42, 0.492000, 0.709500, 0.715500, 1.040900, 10, 19, 2, 3, 10, 19, 17, 40, 0.406000, 0.539000, 0.718150, 1.050400, 14, 18, 2, 3, 12, 18, 40, 40, 0.609000, 0.991000, 0.709550, 1.058000, 18, 18, 3, 3, 19, 18, 37, 40, 0.722000, 1.067500, 0.713750, 1.068600, 20, 20, 3, 3, 17, 20, 33, 39, 0.754000, 1.112000, 0.722500, 1.039900, 22, 20, 3, 4, 20, 20, 51, 43, 0.790000, 1.324500, 0.716150, 1.048400 
22, 19, 3, 3, 24, 19, 60, 44, 0.844500, 1.129000, 0.711050, 1.052800, 14, 19, 3, 3, 18, 19, 34, 45, 0.521000, 0.681000, 0.714800, 1.085800, 22, 18, 5, 3, 23, 18, 63, 43, 0.860500, 1.246000, 0.716050, 1.059550, 27, 20, 5, 3, 26, 20, 53, 43, 0.983500, 1.477500, 0.717750, 1.028850, 25, 21, 4, 3, 26, 21, 54, 41, 0.827500, 1.134500, 0.718750, 1.039500, 14, 18, 2, 3, 13, 18, 40, 40, 0.598500, 0.938500, 0.709550, 1.058000, 21, 18, 4, 3, 21, 18, 40, 40, 0.841000, 1.300000, 0.722200, 1.072950, 20, 20, 3, 3, 18, 20, 34, 39, 0.755500, 1.090000, 0.722500, 1.039900, 10, 19, 1, 3, 10, 19, 16, 40, 0.402500, 0.528000, 0.718150, 1.050400, 21, 19, 4, 3, 22, 19, 51, 39, 0.809500, 1.172500, 0.716100, 1.041400 
31, 20, 4, 4, 27, 20, 55, 43, 1.143500, 1.729500, 0.719600, 1.051900, 28, 19, 5, 4, 27, 19, 76, 44, 1.041000, 1.664000, 0.724400, 1.055850, 18, 20, 3, 4, 24, 20, 53, 42, 0.616000, 0.797000, 0.722600, 1.032600, 29, 19, 5, 4, 24, 20, 51, 42, 1.034000, 1.562500, 0.728600, 1.049000, 27, 20, 7, 4, 29, 20, 56, 43, 1.028000, 1.492500, 0.719600, 1.051900, 14, 18, 2, 3, 13, 18, 40, 40, 0.570500, 0.904500, 0.709550, 1.058000, 21, 18, 4, 3, 21, 18, 42, 40, 0.838000, 1.294000, 0.722200, 1.072950, 20, 20, 3, 3, 18, 20, 34, 39, 0.753000, 1.072000, 0.722500, 1.039900, 10, 19, 1, 3, 11, 19, 17, 40, 0.403500, 0.520000, 0.718150, 1.050400, 22, 19, 4, 3, 22, 19, 51, 39, 0.812500, 1.169500, 0.716100, 1.041400 
24, 19, 5, 3, 26, 19, 43, 44, 0.921000, 1.344500, 0.722450, 1.045700, 25, 19, 5, 3, 21, 19, 42, 43, 0.958000, 1.445000, 0.717850, 1.048000, 7, 18, 1, 3, 5, 19, 11, 42, 0.247500, 0.361000, 0.704900, 1.040700, 16, 19, 5, 3, 24, 19, 39, 41, 0.608500, 0.865500, 0.705900, 1.044100, 27, 16, 3, 3, 27, 16, 71, 37, 0.927500, 1.501000, 0.580950, 0.911250, 10, 18, 2, 3, 13, 18, 25, 42, 0.396000, 0.528500, 0.711450, 1.035400, 42, 20, 7, 4, 31, 20, 71, 41, 1.404000, 2.010000, 0.712350, 1.022550, 25, 21, 5, 4, 24, 21, 44, 41, 0.834500, 1.221500, 0.709350, 1.019450, 23, 19, 3, 3, 23, 19, 38, 43, 0.892500, 1.208000, 0.716600, 1.041300, 23, 19, 4, 3, 25, 19, 58, 43, 0.847000, 1.281500, 0.715350, 1.077100 
20, 19, 4, 3, 17, 19, 36, 43, 0.771500, 1.070000, 0.720700, 1.068850, 13, 17, 2, 3, 12, 17, 30, 43, 0.551500, 1.104000, 0.706350, 1.111000, 16, 18, 4, 3, 17, 18, 36, 44, 0.618500, 0.896000, 0.701200, 1.042850, 18, 19, 4, 4, 20, 19, 59, 43, 0.667500, 0.964500, 0.700500, 1.042850, 20, 19, 2, 3, 24, 19, 49, 42, 0.716000, 1.140500, 0.695150, 1.034150, 27, 20, 3, 3, 22, 20, 49, 42, 0.937500, 1.411000, 0.711150, 1.049100, 19, 18, 4, 3, 21, 18, 51, 42, 0.718000, 1.210500, 0.696650, 1.074900, 23, 19, 4, 3, 22, 20, 45, 43, 0.848500, 1.252000, 0.712850, 1.029850, 23, 19, 3, 3, 23, 19, 38, 43, 0.881500, 1.196500, 0.716600, 1.041300, 23, 19, 4, 3, 26, 19, 60, 43, 0.841000, 1.264500, 0.715350, 1.077100 
24, 17, 5, 3, 26, 17, 59, 43, 0.962000, 1.269000, 0.700900, 1.067600, 17, 18, 3, 3, 17, 18, 32, 40, 0.656500, 0.985500, 0.688200, 1.022700, 19, 18, 4, 4, 15, 18, 35, 40, 0.777500, 1.114000, 0.720650, 1.068150, 16, 20, 1, 3, 13, 20, 26, 42, 0.536500, 0.917000, 0.709100, 1.034950, 19, 20, 4, 3, 19, 20, 45, 43, 0.699000, 0.954000, 0.705550, 1.045450, 10, 18, 2, 3, 14, 18, 25, 42, 0.375000, 0.473500, 0.711450, 1.035400, 15, 20, 3, 4, 18, 20, 28, 40, 0.470000, 0.627000, 0.701250, 1.014750, 29, 20, 5, 4, 27, 20, 64, 41, 1.031500, 1.471000, 0.708700, 1.009350, 28, 18, 4, 3, 23, 18, 47, 41, 1.098000, 1.556000, 0.706450, 1.046000, 24, 20, 3, 4, 23, 20, 41, 40, 0.826000, 1.306500, 0.702650, 1.007600 
17, 19, 3, 4, 15, 19, 36, 42, 0.642500, 0.974500, 0.705650, 1.033700, 7, 20, 2, 4, 10, 20, 17, 42, 0.289500, 0.419000, 0.716750, 1.045250, 18, 19, 2, 3, 17, 19, 42, 45, 0.638500, 0.923500, 0.722950, 1.035450, 18, 20, 3, 3, 19, 20, 47, 44, 0.662500, 0.905000, 0.716000, 1.027900, 21, 18, 5, 3, 23, 18, 59, 43, 0.828500, 1.160500, 0.715650, 1.121700, 24, 19, 4, 3, 26, 19, 60, 43, 0.859500, 1.289500, 0.715350, 1.077100, 27, 19, 5, 3, 26, 19, 50, 42, 0.956500, 1.509000, 0.709150, 1.058000, 24, 19, 4, 3, 20, 19, 57, 44, 0.866500, 1.695500, 0.707300, 1.046450, 23, 19, 6, 3, 23, 19, 47, 43, 0.885000, 1.281500, 0.719300, 1.048800, 0, 19, 0, 3, 1, 19, 1, 45, 0.031500, 0.035000, 0.716100, 1.033750 
29, 20, 4, 4, 29, 20, 54, 44, 0.922500, 1.231500, 0.713200, 1.049400, 18, 19, 3, 3, 19, 19, 19, 41, 0.554500, 0.763500, 0.713600, 1.056900, 23, 20, 6, 4, 28, 20, 40, 40, 0.775500, 1.051500, 0.718900, 1.049050, 19, 20, 3, 4, 17, 20, 34, 41, 0.568500, 0.814500, 0.715050, 1.052700, 38, 19, 7, 3, 34, 19, 77, 41, 1.330000, 1.872000, 0.709650, 1.043650, 22, 20, 3, 4, 15, 20, 30, 42, 0.774000, 1.468500, 0.709750, 1.043150, 19, 20, 3, 3, 20, 20, 44, 44, 0.709000, 1.085500, 0.717200, 1.053600, 8, 20, 2, 4, 10, 20, 16, 42, 0.299500, 0.432000, 0.716750, 1.045250, 23, 20, 3, 3, 16, 20, 50, 42, 0.850500, 1.455000, 0.714250, 1.042500, 17, 19, 3, 4, 16, 19, 37, 42, 0.636500, 0.972000, 0.705650, 1.033700 
