PA0_Kills, PA0_A_Kills, PA0_Assists, PA0_A_Assists, PA0_Deaths, PA0_A_Deaths, PA0_HSPercent, PA0_A_HSPercent, PA0_KillPerRound, PA0_A_KillDeathRating, PA0_KillPerRound, PA0_A_KillDeathRating, PA1_Kills, PA1_A_Kills, PA1_Assists, PA1_A_Assists, PA1_Deaths, PA1_A_Deaths, PA1_HSPercent, PA1_A_HSPercent, PA1_KillPerRound, PA1_A_KillDeathRating, PA1_KillPerRound, PA1_A_KillDeathRating, PA2_Kills, PA2_A_Kills, PA2_Assists, PA2_A_Assists, PA2_Deaths, PA2_A_Deaths, PA2_HSPercent, PA2_A_HSPercent, PA2_KillPerRound, PA2_A_KillDeathRating, PA2_KillPerRound, PA2_A_KillDeathRating, PA3_Kills, PA3_A_Kills, PA3_Assists, PA3_A_Assists, PA3_Deaths, PA3_A_Deaths, PA3_HSPercent, PA3_A_HSPercent, PA3_KillPerRound, PA3_A_KillDeathRating, PA3_KillPerRound, PA3_A_KillDeathRating, PA4_Kills, PA4_A_Kills, PA4_Assists, PA4_A_Assists, PA4_Deaths, PA4_A_Deaths, PA4_HSPercent, PA4_A_HSPercent, PA4_KillPerRound, PA4_A_KillDeathRating, PA4_KillPerRound, PA4_A_KillDeathRating, PB0_Kills, PB0_A_Kills, PB0_Assists, PB0_A_Assists, PB0_Deaths, PB0_A_Deaths, PB0_HSPercent, PB0_A_HSPercent, PB0_KillPerRound, PB0_A_KillDeathRating, PB0_KillPerRound, PB0_A_KillDeathRating, PB1_Kills, PB1_A_Kills, PB1_Assists, PB1_A_Assists, PB1_Deaths, PB1_A_Deaths, PB1_HSPercent, PB1_A_HSPercent, PB1_KillPerRound, PB1_A_KillDeathRating, PB1_KillPerRound, PB1_A_KillDeathRating, PB2_Kills, PB2_A_Kills, PB2_Assists, PB2_A_Assists, PB2_Deaths, PB2_A_Deaths, PB2_HSPercent, PB2_A_HSPercent, PB2_KillPerRound, PB2_A_KillDeathRating, PB2_KillPerRound, PB2_A_KillDeathRating, PB3_Kills, PB3_A_Kills, PB3_Assists, PB3_A_Assists, PB3_Deaths, PB3_A_Deaths, PB3_HSPercent, PB3_A_HSPercent, PB3_KillPerRound, PB3_A_KillDeathRating, PB3_KillPerRound, PB3_A_KillDeathRating, PB4_Kills, PB4_A_Kills, PB4_Assists, PB4_A_Assists, PB4_Deaths, PB4_A_Deaths, PB4_HSPercent, PB4_A_HSPercent, PB4_KillPerRound, PB4_A_KillDeathRating, PB4_KillPerRound, PB4_A_KillDeathRating
35, 20, 4, 3, 24, 21, 49, 49, 1.224000, 1.909500, 0.728251, 1.043051, 24, 18, 3, 3, 26, 18, 68, 49, 0.930000, 1.230500, 0.710650, 1.047450, 25, 20, 2, 3, 23, 20, 54, 51, 0.872000, 1.176500, 0.712150, 1.037450, 23, 18, 5, 3, 21, 18, 60, 42, 0.912000, 1.538000, 0.679550, 1.025050, 11, 19, 2, 3, 14, 19, 31, 43, 0.411000, 0.597500, 0.686200, 1.023800, 27, 17, 3, 3, 24, 17, 65, 49, 1.103000, 1.466500, 0.706500, 1.077450, 30, 17, 3, 3, 24, 17, 61, 46, 1.175000, 2.094000, 0.691900, 1.082100, 17, 19, 3, 3, 15, 19, 40, 49, 0.624000, 0.874000, 0.717500, 1.104000, 9, 19, 2, 3, 11, 19, 27, 51, 0.334000, 0.484500, 0.717150, 1.050250, 19, 19, 3, 3, 22, 19, 55, 46, 0.682000, 0.911000, 0.702900, 1.032850 
19, 18, 3, 3, 15, 18, 30, 45, 0.712500, 1.221500, 0.683600, 1.026200, 22, 20, 6, 3, 19, 20, 47, 48, 0.772000, 1.121500, 0.706500, 1.033800, 30, 18, 6, 3, 25, 18, 73, 45, 1.206000, 1.925500, 0.710050, 1.042450, 24, 18, 5, 3, 21, 18, 61, 42, 0.929000, 1.571500, 0.679550, 1.025050, 10, 19, 2, 3, 13, 19, 31, 43, 0.396500, 0.584000, 0.686200, 1.023800, 17, 18, 3, 3, 19, 18, 34, 47, 0.689000, 1.041500, 0.714600, 1.050550, 17, 19, 3, 3, 21, 19, 43, 47, 0.651500, 0.901000, 0.715600, 1.050300, 19, 16, 4, 3, 20, 16, 34, 42, 0.830500, 1.117000, 0.716450, 1.156050, 19, 16, 3, 3, 18, 16, 47, 43, 0.805500, 1.224500, 0.716650, 1.160200, 14, 19, 3, 3, 16, 19, 35, 47, 0.505000, 0.673000, 0.706050, 1.043900 
31, 20, 4, 3, 31, 20, 42, 46, 1.076500, 1.500500, 0.700150, 1.026350, 13, 19, 2, 3, 16, 19, 35, 47, 0.472500, 0.624000, 0.706050, 1.043900, 21, 19, 5, 3, 24, 19, 40, 44, 0.754000, 1.007500, 0.704400, 1.043000, 26, 20, 3, 4, 23, 20, 52, 43, 0.929500, 1.355500, 0.722400, 1.051800, 18, 19, 1, 3, 16, 19, 59, 47, 0.719500, 1.132000, 0.692300, 1.011100, 23, 19, 3, 3, 23, 19, 48, 45, 0.906500, 1.375500, 0.719000, 1.061150, 22, 18, 3, 3, 20, 18, 61, 45, 0.829500, 1.311000, 0.698500, 1.021300, 24, 18, 5, 3, 21, 18, 60, 42, 0.929500, 1.572500, 0.679550, 1.025050, 11, 19, 2, 3, 13, 19, 31, 43, 0.409500, 0.613500, 0.686200, 1.023800, 16, 20, 2, 3, 15, 20, 35, 43, 0.595500, 0.985000, 0.704750, 1.041000 
26, 20, 3, 4, 23, 20, 53, 43, 0.931000, 1.369000, 0.722400, 1.051800, 24, 21, 4, 4, 20, 21, 36, 40, 0.771500, 1.178500, 0.714150, 1.056300, 29, 19, 4, 3, 28, 19, 58, 43, 0.999500, 1.401000, 0.711050, 1.060850, 18, 18, 4, 3, 24, 18, 44, 44, 0.680000, 0.885500, 0.707250, 1.051300, 28, 18, 7, 3, 24, 18, 66, 44, 1.077000, 1.470500, 0.711200, 1.061400, 16, 19, 1, 3, 13, 19, 27, 45, 0.578000, 0.789000, 0.713750, 1.027300, 31, 19, 2, 3, 28, 19, 70, 44, 1.202000, 1.627000, 0.720500, 1.043350, 24, 19, 1, 3, 17, 19, 36, 44, 0.880500, 1.368500, 0.695700, 1.037300, 18, 18, 2, 3, 15, 18, 52, 46, 0.710000, 1.413500, 0.700800, 1.070100, 28, 20, 4, 4, 24, 20, 75, 40, 0.995000, 1.512500, 0.704650, 1.024100 
28, 19, 5, 3, 28, 19, 81, 47, 1.084000, 1.642000, 0.717600, 1.037200, 17, 18, 3, 3, 17, 18, 39, 42, 0.586000, 0.908000, 0.681350, 1.029650, 19, 20, 3, 3, 23, 20, 51, 43, 0.681000, 0.995500, 0.709800, 1.059100, 15, 18, 2, 3, 13, 18, 30, 44, 0.626000, 0.885000, 0.716450, 1.073900, 24, 19, 4, 3, 27, 19, 44, 41, 0.879000, 1.135000, 0.710900, 1.062650, 18, 19, 3, 3, 20, 19, 34, 42, 0.634000, 0.885000, 0.710850, 1.026900, 20, 19, 3, 3, 19, 19, 49, 44, 0.737500, 1.022500, 0.711700, 1.042550, 29, 19, 4, 3, 28, 19, 58, 43, 1.013000, 1.430000, 0.711050, 1.060850, 26, 20, 3, 4, 22, 20, 52, 43, 0.941500, 1.389000, 0.722400, 1.051800, 23, 21, 5, 4, 20, 21, 36, 40, 0.768500, 1.182500, 0.714150, 1.056300 
23, 18, 4, 3, 22, 18, 62, 45, 0.847500, 1.334500, 0.698050, 1.072300, 30, 19, 4, 3, 29, 19, 60, 43, 1.024500, 1.425500, 0.711050, 1.060850, 26, 20, 3, 4, 23, 20, 52, 43, 0.930500, 1.362500, 0.722400, 1.051800, 23, 21, 4, 4, 20, 21, 36, 40, 0.751000, 1.150500, 0.714150, 1.056300, 23, 18, 3, 3, 20, 18, 59, 47, 0.859500, 1.259500, 0.713900, 1.055850, 33, 19, 6, 3, 26, 19, 64, 47, 1.195500, 1.977500, 0.708950, 1.041700, 25, 20, 4, 3, 25, 20, 60, 46, 0.888500, 1.397500, 0.706100, 1.024900, 19, 18, 3, 3, 22, 18, 36, 42, 0.701500, 1.046000, 0.697000, 1.075700, 19, 17, 4, 3, 24, 17, 50, 44, 0.779500, 1.180500, 0.708250, 1.104300, 15, 16, 3, 3, 17, 16, 44, 45, 0.633500, 0.922500, 0.693800, 1.101100 
17, 19, 3, 3, 15, 19, 36, 40, 0.676500, 0.971000, 0.719450, 1.047750, 30, 17, 6, 3, 23, 17, 39, 41, 1.168500, 1.885000, 0.708600, 1.076700, 18, 18, 3, 3, 15, 18, 41, 40, 0.697000, 1.033500, 0.717450, 1.052850, 23, 21, 4, 4, 20, 21, 34, 40, 0.751000, 1.161500, 0.714150, 1.056300, 26, 20, 3, 4, 22, 20, 53, 43, 0.950500, 1.418500, 0.722400, 1.051800, 9, 17, 1, 3, 14, 17, 34, 46, 0.372500, 0.532000, 0.707900, 1.058500, 16, 17, 4, 3, 18, 17, 42, 41, 0.593500, 0.837500, 0.700700, 1.104550, 17, 18, 4, 3, 15, 18, 33, 42, 0.655500, 1.142000, 0.705050, 1.108350, 20, 18, 3, 3, 18, 18, 28, 41, 0.737000, 1.138500, 0.703050, 1.061200, 14, 18, 2, 3, 14, 18, 30, 42, 0.534000, 0.760500, 0.706400, 1.115900 
24, 21, 4, 4, 20, 21, 36, 40, 0.760500, 1.168500, 0.714150, 1.056300, 13, 21, 3, 4, 22, 21, 26, 41, 0.443000, 0.604000, 0.718750, 1.051250, 26, 20, 3, 4, 23, 20, 52, 43, 0.944000, 1.392500, 0.722400, 1.051800, 23, 19, 4, 3, 23, 19, 40, 40, 0.810000, 1.170000, 0.706800, 1.040350, 30, 17, 6, 3, 24, 17, 40, 41, 1.166500, 1.873000, 0.708600, 1.076700, 22, 19, 5, 3, 20, 19, 66, 45, 0.878000, 1.333500, 0.715750, 1.041450, 19, 20, 3, 3, 21, 20, 53, 45, 0.698000, 1.085000, 0.715300, 1.040000, 20, 20, 3, 3, 19, 20, 44, 45, 0.752500, 1.176000, 0.713800, 1.038150, 25, 20, 4, 3, 18, 20, 33, 45, 0.942500, 1.503000, 0.715450, 1.037500, 11, 20, 2, 4, 13, 21, 31, 43, 0.458000, 0.739500, 0.710250, 1.018750 
19, 18, 3, 3, 15, 18, 40, 40, 0.714000, 1.067000, 0.717450, 1.052850, 29, 19, 4, 3, 28, 19, 58, 43, 1.010000, 1.410000, 0.711050, 1.060850, 21, 18, 5, 3, 24, 18, 50, 40, 0.796000, 1.147000, 0.708600, 1.055250, 23, 21, 4, 4, 20, 21, 35, 40, 0.748000, 1.139500, 0.714150, 1.056300, 30, 17, 6, 3, 24, 17, 39, 41, 1.163000, 1.862000, 0.708600, 1.076700, 19, 20, 3, 3, 21, 20, 35, 41, 0.702000, 0.977500, 0.717750, 1.031100, 29, 19, 5, 4, 27, 19, 64, 42, 1.041000, 1.512500, 0.717950, 1.036500, 24, 20, 3, 4, 21, 20, 57, 41, 0.843000, 1.338000, 0.715650, 1.039700, 23, 20, 7, 4, 27, 20, 58, 41, 0.798000, 1.150500, 0.708300, 1.026050, 17, 17, 3, 3, 18, 17, 44, 42, 0.705000, 1.007000, 0.686850, 1.039950 
31, 17, 6, 3, 23, 17, 39, 41, 1.191000, 1.935500, 0.708600, 1.076700, 21, 18, 5, 3, 24, 18, 51, 40, 0.788000, 1.134500, 0.708600, 1.055250, 23, 21, 4, 4, 21, 21, 35, 40, 0.745500, 1.133500, 0.714150, 1.056300, 17, 18, 4, 3, 20, 18, 51, 43, 0.719000, 1.285000, 0.713450, 1.152200, 22, 19, 2, 3, 22, 18, 62, 43, 0.884000, 1.167500, 0.716350, 1.133900, 24, 19, 4, 3, 22, 20, 39, 41, 0.792000, 1.157500, 0.711750, 1.040850, 25, 20, 2, 3, 22, 20, 40, 41, 0.913500, 1.241500, 0.714100, 1.034350, 15, 18, 3, 3, 13, 18, 26, 41, 0.549000, 0.737000, 0.713300, 1.045500, 33, 19, 4, 3, 30, 19, 75, 41, 1.235000, 1.950000, 0.713750, 1.051900, 21, 20, 4, 4, 22, 20, 40, 41, 0.685500, 0.897500, 0.713550, 1.022950 
7, 18, 1, 3, 10, 18, 30, 43, 0.306000, 0.396500, 0.723750, 1.048350, 30, 18, 5, 3, 30, 18, 64, 42, 1.155000, 1.623500, 0.714150, 1.043600, 30, 17, 6, 3, 23, 17, 40, 41, 1.166000, 1.877500, 0.708600, 1.076700, 28, 19, 4, 3, 29, 19, 59, 43, 0.988500, 1.372000, 0.711050, 1.060850, 29, 18, 5, 3, 25, 17, 67, 39, 1.091667, 1.743333, 0.696000, 1.029000, 1, 19, 0, 3, 0, 19, 0, 44, 0.039000, 0.065500, 0.710200, 1.065100, 1, 19, 0, 3, 1, 19, 2, 45, 0.037000, 0.047500, 0.711750, 1.052000, 17, 20, 1, 3, 19, 20, 37, 41, 0.662000, 0.980500, 0.717150, 1.056300, 13, 18, 2, 3, 17, 18, 47, 45, 0.498500, 0.641500, 0.715850, 1.094900, 18, 19, 4, 3, 21, 19, 40, 44, 0.694500, 1.011000, 0.703850, 1.045050 
24, 13, 3, 2, 18, 13, 60, 33, 0.963000, 3.063500, 0.503800, 0.837850, 15, 20, 3, 3, 17, 20, 42, 46, 0.534000, 0.730500, 0.721500, 1.046300, 30, 20, 5, 3, 28, 20, 68, 47, 1.041000, 1.560000, 0.706850, 1.050250, 20, 18, 3, 3, 22, 18, 55, 46, 0.757000, 1.029500, 0.717200, 1.057900, 12, 19, 3, 3, 14, 19, 40, 47, 0.438000, 0.662500, 0.705700, 1.016800, 30, 19, 4, 3, 28, 19, 58, 47, 1.091000, 1.520000, 0.713450, 1.055200, 26, 20, 3, 4, 23, 20, 52, 43, 0.926000, 1.354500, 0.722400, 1.051800, 7, 18, 1, 3, 10, 18, 30, 43, 0.287000, 0.368000, 0.723750, 1.048350, 23, 18, 3, 3, 19, 18, 49, 48, 0.897000, 1.307000, 0.721500, 1.045100, 16, 20, 3, 3, 17, 20, 39, 46, 0.633000, 0.890000, 0.710700, 1.031350 
1, 20, 0, 3, 1, 20, 2, 47, 0.044500, 0.059500, 0.713550, 1.044000, 21, 18, 4, 3, 19, 18, 44, 45, 0.852500, 1.394500, 0.709050, 1.072350, 18, 17, 3, 3, 14, 17, 35, 41, 0.718500, 1.027500, 0.713650, 1.051400, 17, 20, 5, 4, 17, 20, 35, 45, 0.690000, 1.041000, 0.721700, 1.059450, 19, 19, 2, 3, 21, 19, 47, 48, 0.714000, 0.962000, 0.718600, 1.039900, 29, 20, 4, 3, 20, 20, 62, 42, 1.107000, 1.833000, 0.712000, 1.055700, 7, 18, 1, 3, 10, 18, 30, 43, 0.299500, 0.387000, 0.723750, 1.048350, 21, 19, 6, 3, 24, 19, 40, 44, 0.759500, 1.015500, 0.704400, 1.043000, 9, 19, 1, 3, 11, 19, 22, 44, 0.326500, 0.451000, 0.718500, 1.040250, 15, 19, 2, 3, 12, 19, 21, 44, 0.538000, 0.801500, 0.718400, 1.036800 
29, 19, 4, 3, 28, 19, 58, 47, 1.072500, 1.501000, 0.713450, 1.055200, 19, 20, 3, 3, 15, 20, 51, 47, 0.740500, 1.294000, 0.720350, 1.045300, 26, 20, 3, 4, 23, 20, 52, 43, 0.933000, 1.357500, 0.722400, 1.051800, 21, 19, 5, 3, 25, 19, 41, 44, 0.760500, 1.012500, 0.704400, 1.043000, 7, 18, 1, 3, 10, 18, 30, 43, 0.299000, 0.383000, 0.723750, 1.048350, 17, 20, 3, 3, 17, 20, 36, 46, 0.636500, 0.985000, 0.710800, 1.045750, 17, 19, 4, 3, 19, 20, 39, 46, 0.628000, 0.911500, 0.711750, 1.063550, 15, 19, 2, 3, 14, 19, 35, 44, 0.566500, 0.876500, 0.707000, 1.037550, 14, 19, 2, 3, 11, 19, 27, 45, 0.532000, 0.866000, 0.706450, 1.034850, 18, 20, 3, 3, 16, 20, 37, 45, 0.683500, 0.995000, 0.705600, 1.038850 
24, 18, 4, 2, 22, 18, 71, 48, 0.966500, 1.487000, 0.719450, 1.065600, 1, 19, 0, 3, 0, 19, 1, 50, 0.055000, 0.115000, 0.714900, 1.031550, 15, 18, 3, 3, 19, 18, 47, 49, 0.594500, 0.872500, 0.710650, 1.058650, 1, 19, 0, 3, 0, 19, 2, 48, 0.052500, 0.069000, 0.717850, 1.067600, 20, 18, 4, 3, 21, 18, 63, 47, 0.797500, 1.179500, 0.711450, 1.041900, 29, 19, 4, 3, 28, 19, 57, 47, 1.076500, 1.498000, 0.713450, 1.055200, 19, 20, 3, 3, 15, 20, 51, 47, 0.728500, 1.272500, 0.720350, 1.045300, 25, 20, 3, 4, 23, 20, 52, 43, 0.915500, 1.333500, 0.722400, 1.051800, 21, 19, 5, 3, 24, 19, 41, 44, 0.762000, 1.013000, 0.704400, 1.043000, 7, 18, 1, 3, 10, 18, 28, 43, 0.290000, 0.369000, 0.723750, 1.048350 
21, 18, 3, 3, 19, 18, 52, 46, 0.776000, 1.139500, 0.704800, 1.072601, 26, 17, 3, 3, 22, 17, 78, 46, 0.993000, 1.439500, 0.698800, 1.055550, 30, 18, 5, 3, 22, 18, 63, 42, 1.216000, 2.246000, 0.712000, 1.064950, 17, 17, 3, 3, 19, 17, 39, 42, 0.719500, 1.015500, 0.711450, 1.070800, 17, 19, 2, 3, 15, 19, 41, 44, 0.665000, 0.997500, 0.705650, 1.032600, 14, 19, 2, 3, 17, 19, 43, 44, 0.543500, 0.738000, 0.718050, 1.057550, 23, 19, 4, 3, 22, 19, 52, 45, 0.843500, 1.377500, 0.713250, 1.035751, 15, 18, 3, 3, 16, 18, 34, 45, 0.592000, 0.853500, 0.710050, 1.068300, 17, 18, 4, 3, 21, 18, 51, 43, 0.642000, 0.928500, 0.707100, 1.047050, 23, 19, 4, 3, 23, 19, 38, 43, 0.889500, 1.194000, 0.716600, 1.041300 
24, 19, 3, 3, 23, 19, 38, 43, 0.893000, 1.204500, 0.716600, 1.041300, 24, 18, 5, 3, 24, 18, 56, 43, 0.947000, 1.230000, 0.698400, 1.035150, 17, 18, 3, 3, 21, 18, 36, 42, 0.649000, 0.832500, 0.701850, 1.031399, 22, 18, 6, 3, 23, 18, 47, 43, 0.885000, 1.275000, 0.707300, 1.039850, 21, 20, 4, 3, 22, 20, 36, 42, 0.716000, 1.054000, 0.705650, 1.067000, 20, 18, 5, 3, 24, 18, 60, 43, 0.804000, 1.098500, 0.711600, 1.056800, 19, 18, 2, 3, 18, 18, 47, 42, 0.696000, 1.049000, 0.702450, 1.041600, 23, 17, 4, 3, 22, 17, 54, 43, 0.937000, 1.259500, 0.697800, 1.123800, 18, 18, 3, 3, 22, 18, 44, 39, 0.712000, 1.001500, 0.686850, 1.011850, 28, 20, 4, 3, 20, 20, 47, 41, 1.033000, 1.735500, 0.716200, 1.037850 
22, 19, 4, 3, 25, 19, 63, 46, 0.817000, 1.135500, 0.712350, 1.050600, 29, 20, 5, 3, 33, 20, 65, 46, 1.013000, 1.443000, 0.720000, 1.036950, 14, 20, 3, 3, 11, 20, 28, 42, 0.526000, 0.875000, 0.708100, 1.037400, 19, 19, 4, 4, 25, 19, 60, 42, 0.678000, 0.892000, 0.702600, 1.033650, 24, 18, 4, 3, 20, 19, 49, 43, 0.898000, 1.381500, 0.713500, 1.069900, 23, 19, 3, 3, 23, 19, 39, 43, 0.887000, 1.196500, 0.716600, 1.041300, 30, 19, 7, 4, 25, 19, 50, 40, 1.087000, 1.731500, 0.712600, 1.040450, 24, 20, 4, 4, 26, 20, 61, 39, 0.839000, 1.164500, 0.711950, 1.035050, 14, 19, 3, 3, 17, 19, 33, 42, 0.581000, 0.740500, 0.709200, 1.039350, 17, 19, 2, 3, 19, 19, 59, 43, 0.657000, 0.860000, 0.708600, 1.038200 
26, 18, 5, 3, 24, 18, 64, 45, 1.014500, 1.429500, 0.710000, 1.049000, 27, 19, 6, 4, 23, 19, 46, 43, 0.945000, 1.411500, 0.706900, 1.030700, 18, 19, 3, 3, 24, 19, 48, 43, 0.714500, 0.923500, 0.712350, 1.025000, 22, 19, 3, 3, 22, 18, 41, 44, 0.817500, 1.174000, 0.717000, 1.054000, 26, 18, 3, 3, 26, 18, 59, 43, 0.937500, 1.446500, 0.703300, 1.087000, 24, 19, 4, 3, 23, 19, 38, 43, 0.889500, 1.200000, 0.716600, 1.041300, 25, 19, 3, 3, 23, 18, 68, 42, 0.974500, 1.543000, 0.720700, 1.061350, 23, 18, 6, 3, 21, 18, 57, 43, 0.944500, 1.553500, 0.707300, 1.074800, 27, 18, 2, 3, 21, 18, 51, 43, 1.105000, 1.864500, 0.702800, 1.057350, 13, 19, 2, 3, 11, 19, 23, 43, 0.510500, 0.869500, 0.708400, 1.059250 
